Home,Score,Away,year
Uruguay ,1–1, New Zealand,2011
Portugal ,1–0, Cameroon,2011
Portugal ,1–0, New Zealand,2011
Uruguay ,0–1, Cameroon,2011
Costa Rica ,1–4, Spain,2011
Australia ,1–1, Ecuador,2011
Ecuador ,0–2, Spain,2011
Australia ,2–3, Costa Rica,2011
Ecuador ,3–0, Costa Rica,2011
Australia ,1–5, Spain,2011
Nigeria ,5–0, Guatemala,2011
Croatia ,0–2, Saudi Arabia,2011
Saudi Arabia ,6–0, Guatemala,2011
Croatia ,2–5, Nigeria,2011
Saudi Arabia ,0–2, Nigeria,2011
Croatia ,0–1, Guatemala,2011
Austria ,0–0, Panama,2011
Brazil ,1–1, Egypt,2011
Egypt ,1–0, Panama,2011
Brazil ,3–0, Austria,2011
Brazil ,4–0, Panama,2011
Egypt ,4–0, Austria,2011
England ,0–0, North Korea,2011
Argentina ,1–0, Mexico,2011
Mexico ,3–0, North Korea,2011
Argentina ,0–0, England,2011
Mexico ,0–0, England,2011
Argentina ,3–0, North Korea,2011
Portugal ,1–0, Guatemala,2011
Argentina ,2–1, Egypt,2011
Cameroon ,1–1 (a.e.t.), Mexico,2011
Colombia ,3–2, Costa Rica,2011
Nigeria ,1–0, England,2011
Spain ,0–0 (a.e.t.), South Korea,2011
Brazil ,3–0, Saudi Arabia,2011
France ,1–0, Ecuador,2011
Portugal ,0–0 (a.e.t.), Argentina,2011
Mexico ,3–1, Colombia,2011
France ,3–2 (a.e.t.), Nigeria,2011
Brazil ,2–2 (a.e.t.), Spain,2011
France ,0–2, Portugal,2011
Brazil ,2–0, Mexico,2011
Mexico ,3–1, France,2011
Brazil ,3–2 (a.e.t.), Portugal,2011
France ,3–1, Ghana,2013
United States ,1–4, Spain,2013
France ,1–1, United States,2013
Spain ,1–0, Ghana,2013
Spain ,2–1, France,2013
Ghana ,4–1, United States,2013
